text,run_loop.thisRepN,run_loop.thisTrialN,run_loop.thisN,run_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
Both Feet,0,0,0,0,0,0,0,3,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Feet,0,0,0,0,0,1,1,3,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Right Hand,0,0,0,0,0,2,2,1,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Feet,0,0,0,0,0,3,3,3,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Right Hand,0,0,0,0,1,0,4,1,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Right Hand,0,0,0,0,1,1,5,1,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Left Hand,0,0,0,0,1,2,6,0,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Left Hand,0,0,0,0,1,3,7,0,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Hands,0,0,0,0,2,0,8,2,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Feet,0,0,0,0,2,1,9,3,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Left Hand,0,0,0,0,2,2,10,0,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Hands,0,0,0,0,2,3,11,2,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Left Hand,0,0,0,0,3,0,12,0,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Hands,0,0,0,0,3,1,13,2,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Hands,0,0,0,0,3,2,14,2,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Left Hand,0,0,0,0,3,3,15,0,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Hands,0,0,0,0,4,0,16,2,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Right Hand,0,0,0,0,4,1,17,1,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Right Hand,0,0,0,0,4,2,18,1,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Feet,0,0,0,0,4,3,19,3,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
,0,0,0,0,,,,,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
Both Feet,1,0,1,0,0,0,0,3,,001,2019_Apr_03_1156,EEG_Protocol_Short,3.0.6,59.90425276255638,
